"relative_path","exists","kind","likely_classification","notes"
"app","True","directory","app-workspace","modified=2026-07-07 01:20:38"
"app\SmartFrameSampler.py","True","file","promoted-app-module-known-from-canon","bytes=20405; modified=2026-07-07 01:19:48"
"debug","True","directory","debug-script-workspace","modified=2026-07-07 13:44:49"
"modules","True","directory","module-area-or-module-artifact","modified=2026-07-03 09:20:54"
"modules\megadetector","True","directory","module-area-or-module-artifact","modified=2026-07-06 14:59:31"
"modules\megadetector\megadetector-env\Scripts\python.exe","True","file","module-area-or-module-artifact","bytes=274712; modified=2026-07-06 14:59:31"
"modules\megadetector\models\MDV6b-yolov9-c.pt","True","file","module-area-or-module-artifact","bytes=51572347; modified=2026-06-18 16:08:17"
"modules\dlc","True","directory","module-area-or-module-artifact","modified=2026-07-03 09:20:54"
"modules\dlc\billtip","True","directory","module-area-or-module-artifact","modified=2026-07-06 13:23:22"
"modules\dlc\billtip\billtip-HB-2026-06-30","True","directory","module-area-or-module-artifact","modified=2026-07-07 02:39:18"
"modules\dlc\billtip\billtip-HB-2026-06-30\config.yaml","True","file","module-area-or-module-artifact","bytes=1229; modified=2026-07-06 13:23:38"
"modules\speciesnet","True","directory","module-area-or-module-artifact","modified=2026-07-06 13:51:35"
"modules\speciesnet\speciesnet-env\Scripts\python.exe","True","file","module-area-or-module-artifact","bytes=274424; modified=2026-06-20 00:36:26"
"modules\mmpose","True","directory","module-area-or-module-artifact","modified=2026-07-03 09:20:54"
"output","True","directory","output-area","modified=2026-07-03 09:20:54"
"output\database","True","directory","output-area","modified=2026-07-03 09:20:54"
"output\debug","True","directory","generated-debug-output","modified=2026-07-07 13:45:03"
"output\cache","False","missing","missing",""
"output\cache\SmartFrameSampler","False","missing","missing",""
"main.py","False","missing","missing",""
"settings.ini","True","file","config-candidate","bytes=1063; modified=2026-07-06 15:17:23"
"HBMR.bat","False","missing","missing",""
"Birdbill.bat","True","file","launcher-candidate","bytes=0; modified=2026-07-03 09:20:54"
