"extension","files","mb","gb"
".jpg","67948","26739.19","26.112"
".png","36258","13258.06","12.947"
".py","31547","470.15","0.459"
".pyc","31526","609.23","0.595"
".h","18810","74.77","0.073"
".pyi","6663","26.01","0.025"
".pb","6356","17.79","0.017"
"[none]","3295","17.38","0.017"
".json","2373","14.44","0.014"
".gz","1951","27.14","0.027"
".onnx","1914","2.82","0.003"
".js","891","26.26","0.026"
".br","701","4.18","0.004"
".txt","644","9.31","0.009"
".pyd","553","629.39","0.615"
".csv","404","12.39","0.012"
".html","327","3.51","0.003"
".lib","229","91.53","0.089"
".yaml","225","2.21","0.002"
".mat","222","0.2","0"
".a","215","0.35","0"
".typed","175","0","0"
".hpp","157","2.56","0.002"
".f90","122","0.06","0"
".afm","122","2.6","0.003"
".ttf","120","15.3","0.015"
".cuh","118","1.47","0.001"
".css","114","0.41","0"
".exe","107","15.54","0.015"
".sav","95","0.41","0"
".c","89","10.93","0.011"
".md","85","2.25","0.002"
".cpp","82","0.4","0"
".pyx","77","2.12","0.002"
".cc","76","2.37","0.002"
".pxd","71","0.75","0.001"
".woff2","70","1.39","0.001"
".dll","63","952.49","0.93"
".mplstyle","62","0.07","0"
".svg","57","0.45","0"
".dat","56","3.66","0.004"
".cmake","56","0.5","0"
".wav","49","2.4","0.002"
".db","49","556.77","0.544"
".f","48","0.02","0"
".npz","48","7.31","0.007"
".npy","44","0.88","0.001"
".woff","40","0.58","0.001"
".xml","36","18.62","0.018"
".jinja","36","0.25","0"
".build","32","0.05","0"
".arff","32","0.4","0"
".al","32","0.01","0"
".rst","26","0.1","0"
".tp","24","0.46","0"
".bat","22","0.01","0"
".pdf","22","0.08","0"
".tpl","16","0.02","0"
".pyf","14","0","0"
".bz2","14","0.37","0"
".sample","14","0.03","0"
".sh","14","0.01","0"
".pkl","12","0.01","0"
".tab","12","0.14","0"
".ini","10","0.01","0"
".pt","9","598.36","0.584"
".proto","8","0.15","0"
".hash","8","0","0"
".pem","8","1.97","0.002"
".mp4","8","96.61","0.094"
".apache","8","0.08","0"
".cu","8","0","0"
".bsd","8","0.01","0"
".yml","7","0","0"
".1","7","0.04","0"
".cfg","7","0","0"
".mjs","6","0.02","0"
".xsl","6","0.7","0.001"
".tmp","6","113.75","0.111"
".pth","6","52.21","0.051"
".xz","6","0","0"
".nc","6","0.01","0"
".zip","6","8.44","0.008"
".lzma","5","0","0"
".in","5","0","0"
".gzip","5","0","0"
".toml","4","0.05","0"
".f2py_f2cmap","4","0","0"
".lark","4","0.03","0"
".b99","4","0.01","0"
".h5","4","0.13","0"
".tmpl","4","0","0"
".g4","4","0.02","0"
".a99","4","0","0"
".mp3","4","0.14","0"
".zi","3","0.31","0"
".info","3","0","0"
".pxi","3","0.01","0"
".bin","3","0.63","0.001"
".z","3","0","0"
".gitattributes","2","0","0"
".egg","2","0","0"
".ld","2","0","0"
".bazel","2","0","0"
".ani","2","0.01","0"
".gif","2","0.09","0"
".bzl","2","0","0"
".thrift","2","0.02","0"
".obj","2","0.26","0"
".lock","2","0","0"
".ps1","2","0.02","0"
".external","2","0.04","0"
".pc","2","0","0"
".fits","2","0.02","0"
".template","2","0","0"
".f95","2","0","0"
".inc","2","0","0"
".xrc","2","0","0"
".markdown-it","2","0","0"
".lua","2","0","0"
".license","2","0.01","0"
".whl","2","0","0"
".pickle","1","0.02","0"
".r","1","0","0"
".birdbill-backup","1","0","0"
".dockerignore","1","0","0"
".pack","1","13.71","0.013"
".idx","1","0.01","0"
".eigen","1","0.02","0"
".rev","1","0","0"
".gitignore","1","0","0"
".flake8","1","0","0"
".ipynb","1","4.85","0.005"
".log","1","0","0"
".notice","1","0","0"
".msgpack","1","0","0"
".auto-changelog","1","0","0"
".npmignore","1","0","0"
".thirdparty","1","0.01","0"
".gdb","1","0","0"
".third-party","1","0.03","0"
".0","1","0.02","0"
".ptx","1","0","0"
".ts","1","0","0"
".jpeg","1","0.33","0"
".glb","1","0.11","0"
".srt","1","0","0"
".vtt","1","0","0"
".gltf","1","0.23","0"
".avi","1","0.3","0"
".wasm","1","30.27","0.03"
".lgpl","1","0.03","0"
".stl","1","0.64","0.001"
