"top_folder","files","folders","mb","gb","bulk_or_generated"
"output","104749","780","40370.64","39.424","True"
"hbmr-env","56070","6717","1855.31","1.812","True"
"speciesnet-env","54439","9329","1271.18","1.241","True"
"dlc","143","21","510.19","0.498","False"
"mmpose","395","34","219.37","0.214","True"
"models","3","3","147.55","0.144","True"
"MDV6-yolov9-c.pt50t1mv8d.tmp","1","0","40.62","0.04","False"
"MDV6-yolov9-c.pt1jz42z27.tmp","1","0","30.5","0.03","False"
"20250704_174952_001-Percy-HBMR.mp4","1","0","31.1","0.03","False"
"MDV6-yolov9-c.ptqz6qpjkm.tmp","1","0","22.62","0.022","False"
"LightGlue","69","23","21.09","0.021","True"
"20250704_175743_001-Pearl-HBMR.mp4","1","0","16.24","0.016","False"
"MDV6-yolov9-c.ptxu7ncfcx.tmp","1","0","11.12","0.011","False"
"MDV6-yolov9-c.pt619em7ph.tmp","1","0","8.25","0.008","False"
"feeder-single-calibration.jpg","1","0","6.11","0.006","False"
"wildid","13","3","0.6","0.001","True"
"MDV6-yolov9-c.ptkckz_67l.tmp","1","0","0.62","0.001","False"
"vlcsnap-2026-02-27-01h41m45s086.png","1","0","1.41","0.001","False"
"profiles.bat","1","0","0","0","False"
"Profiles","1","0","0","0","False"
"Project Summary.txt","1","0","0.03","0","False"
"profiles.py","1","0","0.02","0","False"
"__pycache__","5",,"0.04","0","True"
"biometrics","1","2","0.01","0","False"
"megadetector.py","1","0","0.01","0","False"
"sideproject.txt","1","0","0.01","0","False"
"samplerGUI.py","1","0","0.03","0","False"
"samplerGUI.bat","1","0","0","0","False"
"settings.ini","1","0","0","0","False"
"test.bat","1","0","0","0","False"
"speciesid.py","1","0","0.04","0","False"
"review.bat","1","0","0","0","False"
"README-user.txt","1","0","0.01","0","False"
"review.py","1","0","0.01","0","False"
"run.bat","1","0","0","0","False"
"visualid.py","1","0","0.01","0","False"
"cleanup.py","1","0","0.01","0","False"
"cleanup.bat","1","0","0","0","False"
"canon.txt","1","0","0.03","0","False"
"cleanupGUI.bat","1","0","0","0","False"
"DEEPLABCUT.yaml","1","0","0","0","False"
"dbcheck.py","1","0","0","0","False"
"cleanupGUI.py","1","0","0.17","0","False"
"autoname.py","1","0","0.01","0","False"
"20250704_174952_001-Percy-HBMR-frame-00000595-t0009.97-animal-001-conf043-pad20.png","1","0","0.05","0","False"
"20250704_174952_001-Percy-HBMR-frame-00000476-t0007.97-animal-001-conf084-pad20.png","1","0","0.05","0","False"
"billtipToDLC.py","1","0","0.01","0","False"
"canon-v5.0.0.txt","1","0","0.05","0","False"
"billtipTrainerGUI.py","1","0","0.07","0","False"
"billtipTrainerGUI.bat","1","0","0","0","False"
"HBMR.bat","1","0","0","0","False"
"hbmr-env-freeze-20260625.txt","1","0","0.01","0","False"
"HBMR-dbcheck.bat","1","0","0","0","False"
"lightgluetest.bat","1","0","0","0","False"
"20250704_174952_001-Percy-HBMR-frame-00000357-t0005.98-animal-001-conf027-pad20.png","1","0","0.04","0","False"
"main.py","1","0","0.02","0","False"
"lightgluetest.py","1","0","0.02","0","False"
"dinotest.bat","1","0","0","0","False"
"dinosim.py","1","0","0.01","0","False"
"dinosim.bat","1","0","0","0","False"
"dinotest.py","1","0","0","0","False"
"gpt-prediction2.json","1","0","0.02","0","False"
"gpt-prediction.json","1","0","0.01","0","False"
"dlcH5Review.py","1","0","0.01","0","False"
