"index","status","category","source_relative_path","source_full_path","transfer_file_name","transfer_full_path","bytes","mb","modified"
"1","copied","project-specific-missing","dlc\billtip\billtip-HB-2026-06-30\dlc-models-pytorch\iteration-0\billtipJun30-trainset95shuffle1\test\pose_cfg.yaml","D:\HBMR\dlc\billtip\billtip-HB-2026-06-30\dlc-models-pytorch\iteration-0\billtipJun30-trainset95shuffle1\test\pose_cfg.yaml","001-dlc__billtip__billtip-HB-2026-06-30__dlc-models-pytorch__iteration-0__billtipJun30-trainset95shuffle1__test__pose_cfg.yaml","D:\HBMR\transfer\001-dlc__billtip__billtip-HB-2026-06-30__dlc-models-pytorch__iteration-0__billtipJun30-trainset95shuffle1__test__pose_cfg.yaml","231","0","2026-06-30 17:20:49"
"2","copied","project-specific-missing","dlc\billtip\billtip-HB-2026-06-30\dlc-models-pytorch\iteration-0\billtipJun30-trainset95shuffle1\train\learning_stats.csv","D:\HBMR\dlc\billtip\billtip-HB-2026-06-30\dlc-models-pytorch\iteration-0\billtipJun30-trainset95shuffle1\train\learning_stats.csv","002-dlc__billtip__billtip-HB-2026-06-30__dlc-models-pytorch__iteration-0__billtipJun30-trainset95shuffle1__train__learning_stats.csv","D:\HBMR\transfer\002-dlc__billtip__billtip-HB-2026-06-30__dlc-models-pytorch__iteration-0__billtipJun30-trainset95shuffle1__train__learning_stats.csv","22986","0.022","2026-07-01 04:47:28"
"3","copied","project-specific-missing","dlc\billtip\billtip-HB-2026-06-30\dlc-models-pytorch\iteration-0\billtipJun30-trainset95shuffle1\train\pytorch_config.yaml","D:\HBMR\dlc\billtip\billtip-HB-2026-06-30\dlc-models-pytorch\iteration-0\billtipJun30-trainset95shuffle1\train\pytorch_config.yaml","003-dlc__billtip__billtip-HB-2026-06-30__dlc-models-pytorch__iteration-0__billtipJun30-trainset95shuffle1__train__pytorch_config.yaml","D:\HBMR\transfer\003-dlc__billtip__billtip-HB-2026-06-30__dlc-models-pytorch__iteration-0__billtipJun30-trainset95shuffle1__train__pytorch_config.yaml","2645","0.003","2026-06-30 17:22:00"
"4","copied","project-specific-missing","dlc\billtip\billtip-HB-2026-06-30\dlc-models-pytorch\iteration-0\billtipJun30-trainset95shuffle1\train\train.txt","D:\HBMR\dlc\billtip\billtip-HB-2026-06-30\dlc-models-pytorch\iteration-0\billtipJun30-trainset95shuffle1\train\train.txt","004-dlc__billtip__billtip-HB-2026-06-30__dlc-models-pytorch__iteration-0__billtipJun30-trainset95shuffle1__train__train.txt","D:\HBMR\transfer\004-dlc__billtip__billtip-HB-2026-06-30__dlc-models-pytorch__iteration-0__billtipJun30-trainset95shuffle1__train__train.txt","27818","0.027","2026-07-01 04:47:29"
"5","copied","project-specific-missing","dlc\billtip\billtip-HB-2026-06-30\evaluation-results-pytorch\iteration-0\billtipJun30-trainset95shuffle1\DLC_Resnet50_billtipJun30shuffle1_snapshot_best-20.h5","D:\HBMR\dlc\billtip\billtip-HB-2026-06-30\evaluation-results-pytorch\iteration-0\billtipJun30-trainset95shuffle1\DLC_Resnet50_billtipJun30shuffle1_snapshot_best-20.h5","005-dlc__billtip__billtip-HB-2026-06-30__evaluation-results-pytorch__iteration-0__billtipJun30-trainset95shuffle1__DLC_Resnet50_billtipJun30shuffle1_snapshot_best-20.h5","D:\HBMR\transfer\005-dlc__billtip__billtip-HB-2026-06-30__evaluation-results-pytorch__iteration-0__billtipJun30-trainset95shuffle1__DLC_Resnet50_billtipJun30shuffle1_snapshot_best-20.h5","40378","0.039","2026-07-02 16:22:06"
"6","copied","project-specific-missing","dlc\billtip\billtip-HB-2026-06-30\evaluation-results-pytorch\iteration-0\billtipJun30-trainset95shuffle1\DLC_Resnet50_billtipJun30shuffle1_snapshot_best-20-results.csv","D:\HBMR\dlc\billtip\billtip-HB-2026-06-30\evaluation-results-pytorch\iteration-0\billtipJun30-trainset95shuffle1\DLC_Resnet50_billtipJun30shuffle1_snapshot_best-20-results.csv","006-dlc__billtip__billtip-HB-2026-06-30__evaluation-results-pytorch__iteration-0__billtipJun30-trainset95shuffle1__DLC_Resnet50_billtipJun30shuffle1_snapshot_best-20-results.csv","D:\HBMR\transfer\006-dlc__billtip__billtip-HB-2026-06-30__evaluation-results-pytorch__iteration-0__billtipJun30-trainset95shuffle1__DLC_Resnet50_billtipJun30shuffle1_snapshot_best-20-results.csv","241","0","2026-07-02 16:22:12"
"7","copied","project-specific-missing","dlc\billtip\billtip-HB-2026-06-30\evaluation-results-pytorch\iteration-0\CombinedEvaluation-results.csv","D:\HBMR\dlc\billtip\billtip-HB-2026-06-30\evaluation-results-pytorch\iteration-0\CombinedEvaluation-results.csv","007-dlc__billtip__billtip-HB-2026-06-30__evaluation-results-pytorch__iteration-0__CombinedEvaluation-results.csv","D:\HBMR\transfer\007-dlc__billtip__billtip-HB-2026-06-30__evaluation-results-pytorch__iteration-0__CombinedEvaluation-results.csv","241","0","2026-07-02 16:22:12"
"8","copied","project-specific-missing","dlc\billtip\billtip-HB-2026-06-30\labeled-data\billtip\.napari-deeplabcut.json","D:\HBMR\dlc\billtip\billtip-HB-2026-06-30\labeled-data\billtip\.napari-deeplabcut.json","008-dlc__billtip__billtip-HB-2026-06-30__labeled-data__billtip__.napari-deeplabcut.json","D:\HBMR\transfer\008-dlc__billtip__billtip-HB-2026-06-30__labeled-data__billtip__.napari-deeplabcut.json","197","0","2026-07-02 15:36:53"
"9","copied","project-specific-missing","dlc\billtip\billtip-HB-2026-06-30\labeled-data\billtip\birdbill-dlc-conversion-report.txt","D:\HBMR\dlc\billtip\billtip-HB-2026-06-30\labeled-data\billtip\birdbill-dlc-conversion-report.txt","009-dlc__billtip__billtip-HB-2026-06-30__labeled-data__billtip__birdbill-dlc-conversion-report.txt","D:\HBMR\transfer\009-dlc__billtip__billtip-HB-2026-06-30__labeled-data__billtip__birdbill-dlc-conversion-report.txt","1014","0.001","2026-06-30 17:17:22"
"10","copied","project-specific-missing","gpt-prediction.json","D:\HBMR\gpt-prediction.json","010-gpt-prediction.json","D:\HBMR\transfer\010-gpt-prediction.json","9548","0.009","2026-06-30 03:07:31"
"11","copied","project-specific-missing","gpt-prediction2.json","D:\HBMR\gpt-prediction2.json","011-gpt-prediction2.json","D:\HBMR\transfer\011-gpt-prediction2.json","23870","0.023","2026-06-30 03:28:35"
"12","copied","project-specific-missing","megadetector.py","D:\HBMR\megadetector.py","012-megadetector.py","D:\HBMR\transfer\012-megadetector.py","9506","0.009","2026-06-29 22:19:19"
